Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Content Writing,Niche Business Solutions,Lucknow,3,3000,,13 Aug' 21,,Immediately
Interior Design,Gharbari,Kolkata,6,6000,,13 Aug' 21,,Immediately
Operations,HappyLocate Relocation Services Private Limited,ChennaiDelhiHyderabadMumbaiBangalore,3,5000,,13 Aug' 21,,Immediately
Operations,IFANglobal,Gurgaon,3,15000,,13 Aug' 21,,Immediately
Graphic Design,Teenbook,Work From Home,6,10000,Yes,13 Aug' 21,,Immediately
Human Resources (HR),KickHead Softwares Private Limited,Work From Home,3,5000,,13 Aug' 21,Yes,Immediately
Mobile App Development,Ampcome Technologies Private Limited,Bangalore,6,20000-30000,,13 Aug' 21,,Immediately
Digital Marketing,DPI Infotech,Delhi,3,10000-15000,,13 Aug' 21,,Immediately
Business Development (Sales),Acme Mobility Solutions Private Limited,Delhi,3,10000,,13 Aug' 21,,Immediately
Backend Engineering,Sumaiya Industries Private Limited,Kolkata,6,8000,,13 Aug' 21,,Immediately
Digital Marketing,Suresh Digital Services,Work From Home,6,15000,,13 Aug' 21,,Immediately
Graphic Design,Miles Education Private Limited,Bangalore,3,4000-5000,,13 Aug' 21,Yes,Immediately
Data Collection,TopHawks Solutions,ChennaiMangaluruHyderabadVijayawadaBangarapetTripuranthakam,1,10000,,13 Aug' 21,,Immediately
Content Writing,Suresh Digital Services,Work From Home,6,15000,,13 Aug' 21,,Immediately
Front End Development,Vritrahan Technology,Work From Home,1,5000-10000,,13 Aug' 21,Yes,Immediately
Social Media Marketing,Jocelin Healthcare,Work From Home,3,7000,,13 Aug' 21,Yes,Immediately
Content Writing,Inscinn,Work From Home,2,1000,,13 Aug' 21,,Immediately
Social Media Marketing,Suresh Digital Services,Work From Home,6,15000,,13 Aug' 21,Yes,Immediately
Graphic Design,OplaGo,Work From Home,1,10000,Yes,13 Aug' 21,,Immediately
Email Marketing,Digitally Fast,Work From Home,2,5000-10000,,13 Aug' 21,,Immediately
Business Development (Sales),NSquare Xperts,Work From Home,2,7000-8000,,13 Aug' 21,Yes,Immediately
Jewelry Design,La Dolce Vita (Kotawala Jewels),Work From Home,2,2000,Yes,13 Aug' 21,Yes,Immediately
Graphic Design,GrowthGear,Work From Home,2,6000,,13 Aug' 21,,Immediately
Teaching,Falco Robotics,Panipat,4,12000-15000,,13 Aug' 21,,Immediately
Resume Writing,Jobaaj,Agra,3,5000-8000,,13 Aug' 21,,Immediately
Business Development (Sales),Able Jobs,Work From Home,3,12000-20000,,13 Aug' 21,,Immediately
Operations,Able Jobs,Work From Home,3,12000-15000,,13 Aug' 21,,Immediately
Machine Learning Engineering,Shyena Tech Yarns Private Limited,Work From Home,4,3000,,13 Aug' 21,,Immediately
Human Resources (HR),INC91,Delhi,6,7000-10000,,13 Aug' 21,,Immediately
Client Servicing,Franchise Alpha,Mumbai,3,5000,,13 Aug' 21,,Immediately
Content Writing,INC91,Delhi,6,7000-10000,,13 Aug' 21,,Immediately
Telesales,Franchise Alpha,Mumbai,3,5000,,13 Aug' 21,,Immediately
Business Partnerships & Sales,Zyla Health,Work From Home,1,15000,,13 Aug' 21,,Immediately
Business Development (Sales),Sinasta Maritime Private Limited,PuneThaneNavi MumbaiKalyanMumbaiThane West,3,6000,,13 Aug' 21,,Immediately
Operations,EnKash,Work From Home,6,10000,,13 Aug' 21,,Immediately
Graphic Design,Dream Bus,Work From Home,1 (Week),1000 (weekly),,13 Aug' 21,Yes,Immediately
Web Development,Liberty Brass International,Work From Home,6 (Weeks),,,13 Aug' 21,Yes,Immediately
Graphic Design,Digital Analogg,Work From Home,6,5000,,13 Aug' 21,,Immediately
Business Analytics,SoluLab,Work From Home,6,6500,,13 Aug' 21,,Immediately
Digital Marketing,The Convoke,Work From Home,4 (Weeks),,,13 Aug' 21,Yes,Immediately
Web Development,Patharitech,Work From Home,4,12000,,13 Aug' 21,,Immediately
Business Development (Sales),Shaildhar Telecom,Guwahati,6,6000,,13 Aug' 21,,Immediately
Social Media Marketing,Quanto Agroworld Private Limited,Mumbai,6,3500-5000,,13 Aug' 21,,Immediately
Social Media Content Writing,Socio Labs,Work From Home,2,1000,,13 Aug' 21,,Immediately
Human Resources (HR),Borrowio,Work From Home,3,1000,,13 Aug' 21,,Immediately
Business Development (Sales),Mathnix Advertising & Media,Lucknow,3,4000-7000,,13 Aug' 21,,Immediately
Business Analysis,Organizein,Work From Home,3,3000-4500,,13 Aug' 21,,Immediately
Content Writing,TechWhoop,Work From Home,2,3000,,13 Aug' 21,Yes,Immediately
Data Analytics,56 AI Technologies Private Limited,Bangalore,3,10000,,13 Aug' 21,,Immediately
Excel Sheets Expert,The ITCD,Work From Home,2 (Weeks),,,13 Aug' 21,Yes,Immediately
Social Media Marketing,American Institute Of Big Data Professionals,Work From Home,3,5000,,13 Aug' 21,,Immediately
Customer Relationship Management,BrandTouch & Analytics Private Limited,Work From Home,2,7000-10000,,13 Aug' 21,,Immediately
Graphic Design,GML Soft Labs,Work From Home,6,3000,,13 Aug' 21,,Immediately
Merchandising,Print Casual Brands Private Limited,DelhiNoida,2,3000-5000,,13 Aug' 21,,Immediately
Operations,Designerrs Lab,Hyderabad,6,3000-8000,,13 Aug' 21,,Immediately
Social Media Marketing,Bodhi International School,Jodhpur,6,15000-20000,,13 Aug' 21,,Immediately
Law/Legal,Lawnics Technologies Private Limited,Work From Home,2,Unpaid,,13 Aug' 21,,Immediately
Business Development (Sales),Krash IT Services,Work From Home,3,1000,,13 Aug' 21,,Immediately
Content Writing,Iconsure Technologies Private Limited,Work From Home,3,1500,,13 Aug' 21,,Immediately
Business Development (Sales),Revitsone Software Technologies Private Limited,Bangalore,4,6000,,13 Aug' 21,,Immediately
Translation,Contexto,Work From Home,3,3000,,13 Aug' 21,,Immediately
Computer Vision Intern,TensorGo Technologies Private Limited,Work From Home,6,10000,,13 Aug' 21,,Immediately
Web Development,INC91,Delhi,6,8000-10000,,13 Aug' 21,,Immediately
Content Writing,Habitate Technologies Private Limited,Chennai,3,10000,,13 Aug' 21,,Immediately
Content Writing,Abhyutthaan Business Ventures Private Limited,Work From Home,6,4000,,13 Aug' 21,,Immediately
Human Resources (HR),Camp K12,Work From Home,3,8000,,13 Aug' 21,,Immediately
Operations,Vartika Gupta,Work From Home,3,15000,,13 Aug' 21,,Immediately
Human Resources (HR),GymCounselor,Work From Home,2,1000,,13 Aug' 21,,Immediately
Human Resources (HR Generalist),TBM Technologies Private Limited,Delhi,3,5000,,13 Aug' 21,,Immediately
Digital Marketing,Samantechnosys,Mumbai,6,5000-8000,,13 Aug' 21,,Immediately
Digital Marketing,Buzo Media Services,Mumbai,6,2000,,13 Aug' 21,,Immediately
Social Media Marketing,Socio Labs,Work From Home,2,1000,,13 Aug' 21,,Immediately
Business Development (Sales),Bajaj Printers,Delhi,2,10000,,13 Aug' 21,,Immediately
Blockchain Development,MindAdda,Bangalore,2,5000,,13 Aug' 21,,Immediately
PHP Development,SS Group Of Companys,Nagpur,3,10000-12000,,13 Aug' 21,,Immediately
Web Development,Habitate Technologies Private Limited,Chennai,3,10000,,13 Aug' 21,,Immediately
Marketing,SERV-WELL SERVICES,KolhapurPuneSolapurSataraNashik,6,5000-9000,,13 Aug' 21,,Immediately
Business Development (Sales),Leadics,Bangalore,2,10000,,13 Aug' 21,,Immediately
Human Resources (HR),SHOPWEB,Bhubaneswar,6,5000-10000,,13 Aug' 21,,Immediately
Digital Marketing,Learnart Technologies Private Limited,Bhilai,2,3000,,13 Aug' 21,,Immediately
Human Resources (HR),SuperUs Systems Private Limited,Work From Home,2,4000,,13 Aug' 21,,Immediately
Human Resources (HR),Elev8 Careers,Work From Home,3,8000,,13 Aug' 21,,Immediately
Business Development (Sales),YOOF,DelhiMumbai,6,5000,,13 Aug' 21,,Immediately
Digital Marketing,ThinkClock Innovation Labs,Work From Home,1,15000-21000,,13 Aug' 21,Yes,Immediately
Marketing,InvestChaCha Advisory Services LLP,Work From Home,6 (Weeks),10000,,13 Aug' 21,Yes,Immediately
Hardware Engineering,Augrade Private Limited,Work From Home,3,8000-12000,,13 Aug' 21,Yes,Immediately
Teaching (Mathematics),ORCHIDS International School,Work From Home,6,15000,,13 Aug' 21,,Immediately
Marketing,Digital Earth Technologies LLP,Work From Home,3,1000,Yes,13 Aug' 21,,Immediately
Telecalling,Mentor Match,Work From Home,2,2500,,13 Aug' 21,,Immediately
Content Writing,TopTrove Foundation,Work From Home,1,Unpaid,,13 Aug' 21,Yes,Immediately
Video Making/Editing,ORCHIDS International School,Work From Home,2,10000-15000,,13 Aug' 21,,Immediately
Finance,R Taparia & Associates,Jaipur,3,2000,,13 Aug' 21,,Immediately
Graphic Design,X Billion Skills Lab Private Limited,Mumbai,3,5000,,13 Aug' 21,,Immediately
International Relations,International Relations & Security Analysis,Work From Home,3,Unpaid,,13 Aug' 21,Yes,Immediately
Telecounselling,NEXT IAS,Delhi,1,10000,,13 Aug' 21,,Immediately
Content Writing,Language Fluent,Work From Home,6,1500-2500,,13 Aug' 21,Yes,Immediately
Business Development (Sales),Herbocare,Work From Home,1,5000,Yes,13 Aug' 21,Yes,Immediately
Data Entry,Naandi Foundation,Work From Home,2,Unpaid,,13 Aug' 21,Yes,Immediately
Content Writing,Compendious Med Works,Lucknow,3,2000-3000,,13 Aug' 21,,Immediately
Front End Development,Vyorius,Work From Home,2,2000,,13 Aug' 21,Yes,Immediately
Content Writing,Ono Teas,Work From Home,6,3000-5000,,13 Aug' 21,,Immediately
Graphic Design,Emblix Solutions,Hyderabad,3,5000,,13 Aug' 21,,Immediately
Fundraising,Simmi Foundation Organization,Work From Home,2 (Weeks),Unpaid,,13 Aug' 21,Yes,Immediately
Human Resources (HR),Think Of It Foundation,Work From Home,6,Unpaid,,13 Aug' 21,Yes,Immediately
Content Writing,Think Of It Foundation,Work From Home,6,Unpaid,,13 Aug' 21,Yes,Immediately
Subject Matter Expert (Law),Innovalance Learning Systems,Work From Home,3,8000,,13 Aug' 21,,Immediately
Telecalling,Sun Sea International,Work From Home,3,1000,Yes,13 Aug' 21,,Immediately
Human Resources (HR),Capital Trust Limited,Work From Home,2,1000-3000,,13 Aug' 21,Yes,Immediately
Graphic Design,Digital Rush,Work From Home,6,5000,,13 Aug' 21,,Immediately
Human Resources (HR),Panamax Infotech Limited,Work From Home,6,5000-10000,,13 Aug' 21,,Immediately
Human Resources (HR),Ostello India Private Limited,Work From Home,6 (Weeks),1000-2000,,13 Aug' 21,,Immediately
Human Resources (HR),BarRaiser,Work From Home,4,8000,,13 Aug' 21,,Immediately
Java Development,Newgen Payments,Delhi,6,12000-16000,,13 Aug' 21,,Immediately
Business Development (Sales),PT Live,Work From Home,1 (Week),250 (weekly),,13 Aug' 21,,Immediately
Wealth Management,Tharsha Ventures Private Limited (EldersIndia),Bangalore,3,3000-5000,,13 Aug' 21,,Immediately
Digital Marketing,Compendious Med Works,Lucknow,3,3000,,13 Aug' 21,,Immediately
Digital Marketing,DealerSahab,Noida,3,2000-3000,,13 Aug' 21,,Immediately
Web Development,Buzz4health,Work From Home,2,7500,,13 Aug' 21,Yes,Immediately
Content Writing,DealerSahab,Noida,3,2000-3000,,13 Aug' 21,,Immediately
Graphic Design,DealerSahab,Noida,3,2000-3000,,13 Aug' 21,,Immediately
Marketing,Dishtayate Advisor Private Limited,Bangalore,6,2500,,13 Aug' 21,,Immediately
Business Development (Sales),Molecular Connections Private Limited,Work From Home,6,15000,,13 Aug' 21,,Immediately
Graphic Design,MindAdda,Bhubaneswar,2,3000-5000,,13 Aug' 21,,Immediately
Graphic Design,Godhuli Group,Work From Home,3,1000,,13 Aug' 21,Yes,Immediately
Anchoring,Mantra Care,Delhi,6,6000-8000,,13 Aug' 21,,Immediately
Personal Secretary/Office Assistance,Ikshana,Navi Mumbai,2,5000-7000,,13 Aug' 21,,Immediately
Anchoring,Eye Mantra Hospital,Delhi,6,6000-8000,,13 Aug' 21,,Immediately
Content Writing,Theopinionatedindian.com,Work From Home,3,1000,,13 Aug' 21,Yes,Immediately
Export Documentation,La Freightlift Private Limited,Chennai,6,10000-15000,,13 Aug' 21,,Immediately
Operations,Ankit Roadways,Raipur,6,15000-20000,,13 Aug' 21,,Immediately
Anchoring,DiabetesMantra,Delhi,6,6000-8000,,13 Aug' 21,,Immediately
Social Media Marketing,Intouch Quality Services Private Limited,Delhi,6,3000-5000,,13 Aug' 21,,Immediately
Web Development,Amdigit,Work From Home,6,10000,,13 Aug' 21,,Immediately
Business Development (Sales),AbleCold Logistics,Bangalore,2,8000-10000,,13 Aug' 21,,Immediately
Video Anchoring,EyeMantra Foundation,Delhi,6,6000-8000,,13 Aug' 21,,Immediately
Digital Marketing,Milestone Localization,Work From Home,3,4000,,13 Aug' 21,Yes,Immediately
Accounts,Renaissance HR Solutions,Pune,6,13000,,13 Aug' 21,,Immediately
Graphic Design,Websunn - Online Grocery Shopping Store,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Backend Development,DIRECTGRO INDIA PRIVATE LIMITED,Work From Home,6,5000-8000,,13 Aug' 21,,Immediately
Human Resources (HR),Kohelika Kohli Architects And Designers Private Limited,Delhi,6,5000,,13 Aug' 21,,Immediately
Telecalling (Overseas Education Industry - Study Abroad),Innvictus Edutech,DelhiGhaziabadGreater NoidaNoida,3,5000,Yes,13 Aug' 21,Yes,Immediately
Telemarketing & Counselling,NewAge Infoserv,Work From Home,2,3000-5000,,13 Aug' 21,,Immediately
Operations,Expert Right,Jaipur,2,5000,,13 Aug' 21,,Immediately
Client Coordination,Expertrons,Work From Home,3,7500-12500,,13 Aug' 21,,Immediately
Digital Marketing (YouTube),Swiflearn,Work From Home,2,7000,,13 Aug' 21,,Immediately
Mentor Engagement,Expertrons,Work From Home,3,7500-12500,,13 Aug' 21,,Immediately
Digital Marketing,CloudEnd Platform Private Limited,Work From Home,6,1000,,13 Aug' 21,,Immediately
Search Engine Optimization (SEO),ITify Solutions,Noida,3,6000,,13 Aug' 21,,Immediately
Social Media Marketing,Triprotas Private Limited,Bangalore,3,20000,,13 Aug' 21,,Immediately
Coach Onboarding,Expertrons,Work From Home,3,7500-12500,,13 Aug' 21,,Immediately
Content Writing,Qapita,Work From Home,2,10000,,13 Aug' 21,Yes,Immediately
Search Engine Optimization And Social Media Marketing,Digitise Today,Delhi,3,4000,,13 Aug' 21,,Immediately
Marketing,Mediaqart Technologies Private Limited,Work From Home,3,8000-10000,,13 Aug' 21,,Immediately
Special Effects,Youth India Foundation,Work From Home,3,Unpaid,,13 Aug' 21,Yes,Immediately
Business Development (Sales),Offiql Technologies Private Limited,Work From Home,2,2000-5000,,13 Aug' 21,,Immediately
Digital Marketing,Oddy Labs,DelhiHyderabad,6,4000,,13 Aug' 21,,Immediately
Digital Marketing,Import Export Federation,Pune,6,7000,Yes,13 Aug' 21,,Immediately
Web Development,Three Arrow Technologies,Work From Home,3,10000-18000,,13 Aug' 21,,Immediately
Web Development,Dream Bus,Work From Home,1,10000,,13 Aug' 21,,Immediately
Business Development (Sales),JobSpri,Mumbai,6,20000,,13 Aug' 21,,Immediately
Quality Analysis (Digital Marketing),Quantum IT,Work From Home,6,8000-12000,,13 Aug' 21,,Immediately
Content Writing,The Tea Shelf,Work From Home,3,3000,,13 Aug' 21,Yes,Immediately
Accounts,Veave Technologies Private Limited,Bangalore,3,5000,,13 Aug' 21,,Immediately
Web Development,XRM Labs,Work From Home,6,10000,,13 Aug' 21,,Immediately
Content Writing (Technical),Knowhere Studio,Work From Home,6,10000,,13 Aug' 21,,Immediately
Human Resources (HR),Lucio IT Services,Bangalore,6,5000,,13 Aug' 21,,Immediately
Law/Legal,OZiva,Work From Home,3,5000,,13 Aug' 21,,Immediately
LinkedIn Communication/Acquisition,Expertrons,Work From Home,6,7500-12500,,13 Aug' 21,,Immediately
Psychology,Mom's Belief,Work From Home,1,1000,,13 Aug' 21,,Immediately
Digital Marketing,Xfinite Global PLC (Mzaalo),Work From Home,4,3000,,13 Aug' 21,,Immediately
Operations,Society For Health And Medical Technology,Work From Home,6,Unpaid,,13 Aug' 21,Yes,Immediately
Accounts,CSTE INTERNATIONAL,Delhi,3,6000-12000,,13 Aug' 21,,Immediately
Marketing,Smart Accountants,Work From Home,6,5000,,13 Aug' 21,,Immediately
Accounts & Finance,SHREEJI AND ASSOCIATES,Delhi,6,3000-5000,,13 Aug' 21,,Immediately
Digital Marketing,Veave Technologies Private Limited,Bangalore,3,5000,,13 Aug' 21,,Immediately
3D Modeling Animation And Game Art,CBS Games,Work From Home,1,2000,,13 Aug' 21,Yes,Immediately
Graphic Design,QADILR,Work From Home,1,5000,,13 Aug' 21,Yes,Immediately
Graphic Design,Provident Capital,Gurgaon,3,7000-12000,,13 Aug' 21,,Immediately
Human Resources (HR),Expletus Marketing,Work From Home,6,10000,,13 Aug' 21,,Immediately
Human Resources (HR),Veave Technologies Private Limited,Bangalore,3,5000,,13 Aug' 21,,Immediately
Business Development (Sales),Motozak LLP,Work From Home,2,3000,Yes,13 Aug' 21,,Immediately
Digital Marketing,Motozak LLP,Jaipur,2,5000,Yes,13 Aug' 21,,Immediately
Business Research,Organizein,Work From Home,6,2000-3000,,13 Aug' 21,,Immediately
Operations,Able Jobs,Work From Home,3,12000-15000,,13 Aug' 21,,Immediately
Mobile App Development,RW Infotech Private Limited,Ludhiana,6,15000,,13 Aug' 21,,Immediately
Research & Report Writing,Verified Market Research,Work From Home,2,3000,,13 Aug' 21,,Immediately
Business Development (Sales),Ravtek,Work From Home,3,9000-14500,,13 Aug' 21,,Immediately
Mobile App Development,KidZoo,Work From Home,1,12000-22000,,13 Aug' 21,,Immediately
Business Development (Sales),Motozak LLP,Jaipur,2,8000,Yes,13 Aug' 21,Yes,Immediately
Inbound Calling,Successfull Life Industry Infotech Services Private Limited,Delhi,4,15000,,13 Aug' 21,,Immediately
Digital Marketing,Jorim Technology Solutions Private Limited,Chennai,6,5000,,13 Aug' 21,,Immediately
Customer Support,Successfull Life Industry Infotech Services Private Limited,Delhi,3,15000,,13 Aug' 21,,Immediately
Content Writing,Veave Technologies Private Limited,Bangalore,3,5000,,13 Aug' 21,,Immediately
PR & Marketing,Be Dauntless Foundation,Work From Home,2,Unpaid,,13 Aug' 21,Yes,Immediately
Business Development (Sales),Just Deliveries,Mumbai,3,15000,,13 Aug' 21,,Immediately
Business Development (Sales),HRX Consultants,Work From Home,6,3000,,13 Aug' 21,,Immediately
Operations,Daily Thanthi Group,Chennai,6,10000,,13 Aug' 21,,Immediately
Video Making/Editing,ClickRetina,Lucknow,3,4000-5000,,13 Aug' 21,,Immediately
Tutoring (Social Media Marketing & Digital Marketing),Childo Education Research And Development Foundation,Work From Home,2 (Weeks),Unpaid,,13 Aug' 21,,Immediately
Digital Marketing,Buzo Media Services,Work From Home,6,2000,,13 Aug' 21,,Immediately
Web Development,Fourty60 Technologies,Mumbai,3,4000-9000,,13 Aug' 21,,Immediately
Content Writing,Pawan Jaswal,Work From Home,6,5000,,13 Aug' 21,Yes,Immediately
Graphic Design,Webtrix Solutions Private Limited,Pune,4,2000,,13 Aug' 21,,Immediately
UI/UX Design,Sukratu Labs LLP,Work From Home,1,5000,,13 Aug' 21,,Immediately
Product Development,Third Origin LLC,Work From Home,6,10000,,13 Aug' 21,,Immediately
Telecalling,Key2careeR LLP,Mumbai,3,5000,,13 Aug' 21,,Immediately
Rural Primary Health Survey,E-Health Research Center," IIIT-Bangalore",2,10000,,13 Aug' 21,,Immediately
Digital Marketing,Digital Aided School,Work From Home,2,5000-10000,,13 Aug' 21,,Immediately
Front End Development,WebKnight Infosystem,Ahmedabad,6,5000-8000,,13 Aug' 21,,Immediately
Social Media Marketing,GYMIT,Work From Home,1,,,13 Aug' 21,Yes,Immediately
PCB Design & Layout,Ayan Dutta,Work From Home,1,6000-12000,,13 Aug' 21,,Immediately
Web Development,Paleru Technologies Private Limited,BangaloreMangalore,1,5000,,13 Aug' 21,,Immediately
QA Engineering (Software),Tecore Labs Private Limited,BikanerJaipur,6,7000-8000,,13 Aug' 21,,Immediately
Content Writing,Sumeru Solutions,Work From Home,1,1500-2500,,13 Aug' 21,,Immediately
Graphic Design,Youth Development Committee,Work From Home,4,Unpaid,,13 Aug' 21,Yes,Immediately
Teaching (Coding),NxtGenSkills,Work From Home,6,10000,,13 Aug' 21,Yes,Immediately
Graphic Design,Ellipsonic,Bangalore,3,5000,,13 Aug' 21,,Immediately
Image Processing,Crescent Incorporation,Pune,6,20000,,13 Aug' 21,,Immediately
Digital Marketing,Publicity Port,Work From Home,3,7000,,13 Aug' 21,,Immediately
Digital Marketing,Algoocean Technologies Private Limited,UlhasnagarKalyan,6,2000,,13 Aug' 21,,Immediately
Content Writing,Saathi Eco Innovations India Private Limited,Work From Home,3,3000-6000,,13 Aug' 21,,Immediately
Data Research,RCWISE TECHNOLOGIES LLP,Work From Home,2,1000,,13 Aug' 21,,Immediately
Operations,K21 Academy,Work From Home,6,12000-20000,,13 Aug' 21,,Immediately
Human Resources (HR),Niruma WebX,Work From Home,3,2800,,13 Aug' 21,,Immediately
Video Making/Editing,Karytron Electricals Private Limited,Work From Home,1,1000,,13 Aug' 21,Yes,Immediately
Social Media Marketing,NextGenFact Technology Private Limited,Kolkata,3,7000,,13 Aug' 21,,Immediately
Human Resources (HR),Zell Education,Mumbai,6,15000,,13 Aug' 21,,Immediately
Business Development (Sales),Primo Hiring Solutions,Work From Home,4 (Weeks),,,13 Aug' 21,,Immediately
IT/CRM Software Management,Korporate Ladders Career Management Services LLP,Work From Home,6,10000-15000,,13 Aug' 21,,Immediately
Digital Marketing,Eduonix Learning Solutions Private Limited,Work From Home,3,5000,,13 Aug' 21,,Immediately
Human Resources (HR),ImpactGuru,Work From Home,3,3000,,13 Aug' 21,,Immediately
Marketing,Apex Chemicals,Mumbai,3,5000,Yes,13 Aug' 21,,Immediately
Fashion Illustration,WNW (Warp N Weft Designs Private Limited),Kolkata,6,2000,,13 Aug' 21,,Immediately
Business Development Assistant,Innwiser,Work From Home,2,1000,,13 Aug' 21,,Immediately
Business Development (Sales),Avishkaar,Work From Home,1,5000,,13 Aug' 21,,Immediately
Marketing,UCFER,ChennaiThoothukudiTiruvannamalaiTiruppurPerambalurKallakurichiVellureMadurai NorthThiruvananthapuram,3,4000-8000,,13 Aug' 21,,Immediately
Web Development,GISFY PRIVATE LIMITED,Work From Home,6,8000,,13 Aug' 21,,Immediately
Video Making/Editing,Saathi Eco Innovations India Private Limited,Work From Home,3,3000-6000,,13 Aug' 21,Yes,Immediately
Graphic Design,Ridshid Agro Consultancy,Work From Home,3,6000,,13 Aug' 21,,Immediately
Graphic Design,LawSikho,Work From Home,3,15000,,13 Aug' 21,,Immediately
YouTube Marketing,Happy Life Foundation,Work From Home,3,Unpaid,,13 Aug' 21,,Immediately
Business Development (Sales),MGNika Private Limited,PuneHyderabadMumbaiJaipurBangalore,6,4000-9000,,13 Aug' 21,Yes,Immediately
Content Writing,Sanghvi Beauty & Technologies Private Limited,Work From Home,6,10000,,13 Aug' 21,,Immediately
Human Resources (HR),Thema Corporate Services LLP,Mumbai,6,10000,,13 Aug' 21,,Immediately
Human Resources (HR),Elixir Web Solutions,Work From Home,6,8000,,13 Aug' 21,,Immediately
Web Development,Ridshid Agro Consultancy,Work From Home,3,5000,,13 Aug' 21,,Immediately
Mobile App Development,Greno Mark India,Greater Noida,3,10000,,13 Aug' 21,,Immediately
Creative Design,Digital Aided School,Work From Home,2,5000,,13 Aug' 21,Yes,Immediately
Fundraising,Odisha Development Management Programme (ODMP),Work From Home,3 (Weeks),,,13 Aug' 21,Yes,Immediately
Real Estate & Interior Design,Infinity Buildcon Private Limited,DelhiGurgaon,6,7000,,13 Aug' 21,,Immediately
Business Development (Sales),Quick Ride,Bangalore,3,9000,,13 Aug' 21,,Immediately
Graphic Design,Khilonasur Private Limited (KIZO),Work From Home,2,10000,,13 Aug' 21,Yes,Immediately
Tutoring,MathPoint,Work From Home,1,3000-8000,,13 Aug' 21,Yes,Immediately
Graphic Design,PlantByte,Work From Home,3,10000-15000,,13 Aug' 21,Yes,Immediately
Web Development,Tecore Labs Private Limited,BikanerJaipur,6,7000-8000,,13 Aug' 21,,Immediately
Business Development (Sales),EAge Tutor,Delhi,2,4000,,13 Aug' 21,,Immediately
Content Writing,TryCatch Classes,Work From Home,3,2000-7000,,13 Aug' 21,Yes,Immediately
Business Analytics,Ayan Dutta,Work From Home,1,6000-12000,,13 Aug' 21,,Immediately
Marketing,CASPR India,Pune,3,8000,,13 Aug' 21,,Immediately
Graphic Design,Kajal Rathi,Kolkata,3,6000,,13 Aug' 21,,Immediately
Fashion Design,Desi Minimals,Kolkata,3,5000,,13 Aug' 21,Yes,Immediately
Digital Marketing,SK Minerals Tech Private Limted,ChandigarhMohali,6,8000,,13 Aug' 21,,Immediately
Business Development (Sales),Valtree Global Private Limited,Hyderabad,3,9000,,13 Aug' 21,,Immediately
Marketing,SAGE Publications India Private Limited,Work From Home,2,7000,,13 Aug' 21,,Immediately
Video Making/Editing,Zoof Product Private Limited,Navi Mumbai,3,5000,,13 Aug' 21,,Immediately
Growth Hacking,Digital Aided School,Work From Home,2,5000,,13 Aug' 21,Yes,Immediately
Digital Marketing,One Sky Shop,Delhi,3,4000,,13 Aug' 21,,Immediately
Public Relations,FinnovationZ,Hyderabad,3,11000,,13 Aug' 21,,Immediately
Human Resources (HR),EDWorks,Work From Home,2,1000-5000,,13 Aug' 21,Yes,Immediately
Marketing,Digital Aided School,Work From Home,2,5000-10000,,13 Aug' 21,Yes,Immediately
Fashion Photograhy,Arras,Delhi,2,5000,,13 Aug' 21,,Immediately
Digital Marketing,Eduonix Learning Solutions Private Limited,PuneThaneMumbai,3,5000,,13 Aug' 21,,Immediately
Business Development (Sales),Ridshid Agro Consultancy,Work From Home,4,6000,Yes,13 Aug' 21,,Immediately
Marketing,Nitco Limited,BhubaneswarDhanbadRanchi,1,5000,,13 Aug' 21,,Immediately
Content Writing,Saathi Eco Innovations India Private Limited,Work From Home,3,2000-6000,,13 Aug' 21,,Immediately
Copywriting,The Better India,Work From Home,3,5000,,13 Aug' 21,,Immediately
Social Media Marketing,Ridshid Agro Consultancy,Work From Home,4,5000,,13 Aug' 21,,Immediately
Business Development (Sales),The Better India,Work From Home,2,2000,,13 Aug' 21,,Immediately
Human Resources (HR),SAGE Publications India Private Limited,Delhi,2,7000,,13 Aug' 21,,Immediately
Web Development,Cognial Artificial Intelligence Solutions Private Limited (Foundation AI),BangaloreHyderabad,4,15000,,13 Aug' 21,Yes,Immediately
Node.js Development,TantraSoft Solutions (I) Private Limited,Mumbai,6,10000,,13 Aug' 21,,Immediately
Content Creation & Design (Political Science),Unacademy,Work From Home,2,10000,,13 Aug' 21,Yes,Immediately
Graphic Design,The Better India,Work From Home,3,5000,,13 Aug' 21,,Immediately
Business Development (Sales),Finstreet,Work From Home,1,5000-6000,,13 Aug' 21,Yes,Immediately
WEB CONTENT WRITER,Nerdy Turtlez,Kolkata,6,12000-14000,,13 Aug' 21,,Immediately
Graphic Design,Securityboat Cybersecurity Solution Private Limited,Work From Home,3,5000-10000,,13 Aug' 21,,Immediately
Curriculum Design (Science),BridgeGap Academy Private Limited,Work From Home,3,3000,,13 Aug' 21,,Immediately
Digital Marketing,EDWorks,Work From Home,2,1000-5000,,13 Aug' 21,Yes,Immediately
Online Teaching,Shashi Dream Foundation,Work From Home,2,500,,13 Aug' 21,Yes,Immediately
Business Development (Sales),SnapSeaarch (formerly Known As PharmaHood Consultants),Work From Home,2,6000-9000,,13 Aug' 21,,Immediately
Business Development (Sales),Success Roar Classes,Work From Home,1,1000,Yes,13 Aug' 21,Yes,Immediately
