Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Business Development (Sales),UrbanClap,Delhi,3,10000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Kurnool,3,18000,,5 Aug' 21,,Immediately
Volunteering,Teach For India,Delhi,2,Unpaid,,5 Aug' 21,Yes,Immediately
Operations,Urban Company,AhmedabadChennaiDelhiKolkataPuneHyderabadMumbaiBangalore,3,10000,,5 Aug' 21,,Immediately
Business Development (Sales),Delhivery,KollamKozhikodeThiruvananthapuramThrissurKanyakumariMalappuramAlappuzhaKochiAluvaErnakulamChalakudyPalakkadKannur,2,10000,,4 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Jaipur,2,10000,,4 Aug' 21,Yes,Immediately
Human Resources (HR),Bewakoof,Work From Home,3,7000,,3 Aug' 21,,Immediately
Content Writing,MakeMyTrip,Work From Home,3,6000,,3 Aug' 21,,Immediately
Social Work,Smile Foundation,ChennaiDelhiGurgaonBangalore,1,Unpaid,,3 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Chennai,2,16000,,3 Aug' 21,,Immediately
Business Development (Sales),Delhivery Private Limited,Mumbai,2,12000,,3 Aug' 21,,Immediately
Business Development (Sales),Economic Times Edge,Mumbai,3,5000,,3 Aug' 21,,Immediately
Graphic Design,Nestaway,Work From Home,2,15000-20000,,3 Aug' 21,,Immediately
Human Resources (HR),HCL Technologies,Work From Home,3,3500,,3 Aug' 21,,Immediately
Business Analytics,Edelweiss Financial Services,Work From Home,6,12000,,3 Aug' 21,,Immediately
Operations,Urban Company,Hyderabad,2,10000,,3 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Sundergarh,3,18000,,3 Aug' 21,,Immediately
Employee Engagement (HR),BookMyShow,Mumbai,6,5000,,3 Aug' 21,,Immediately
Marketing,Think & Learn Private Limited (BYJU'S),Rourkela,3,18000,,2 Aug' 21,,Immediately
Volunteering,Teach For India,Work From Home,3,Unpaid,,2 Aug' 21,Yes,Immediately
Business Development (Sales),Urban Company,Coimbatore,3,10000,,2 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Guntur,3,18000,,2 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Vijayawada,3,18000,,2 Aug' 21,,Immediately
Human Resources (HR),House Of Anita Dongre,Work From Home,6,8000-10000,,2 Aug' 21,,Immediately
